 metabolite_name	17Dec15_P104N24	17Dec18_2P147	17Dec19_1exo	17Dec12_17exo	17Dec15_13exo	17Dec20_P95N19	17Dec15_P29N6	17Dec12_P83	17Dec15_P193	17Dec08_26exo	17Dec22_24exo	17Dec08_P110N29	17Dec20_UK001N	17Dec18_P162N42	17Dec18_25exo	17Dec22_8exo	17Dec19_15P169(28)	17Dec08_9exo	17Dec18_44exo	17Dec08_P145	17Dec18_P136N38	17Dec19_21exo	17Dec08_P31	17Dec18_3exo	17Dec15_35exo	17Dec15_39exo	17Dec22_P209N50	17Dec15_P126N33	17Dec22_14exo	17Dec18_P101N22	17Dec08_P134	17Dec15_23exo	17Dec12_P97(48)	17Dec15_40exo	17Dec18_P28N5	17Dec19_P37N12	17Dec11_P128	17Dec15_P36N11	17Dec11_18exo	17Dec18_P127N34	17Dec11_22exo	17Dec19_P82	17Dec20_P123	17Dec22_P89	17Dec18_50exo	17Dec11_10P66(25)	17Dec18_33exo	17Dec18_17P64(23)	17Dec12_5exo	17Dec08_P90	17Dec08_P125	17Dec15_2P58(19)	17Dec22_7exo	17Dec18_28exo	17Dec15_P92(46)	17Dec11_P88N15	17Dec22_29exo	17Dec18_P132(61)	17Dec15_36exo	17Dec20_P109N28	17Dec22_P32N7	17Dec20_47exo	17Dec11_48exo	17Dec19_41exo	17Dec22_5P73(31)	17Dec11_27exo	17Dec15_34exo	17Dec12_P94N18	17Dec19_32exo	17Dec20_45exo	17Dec22_11exo	17Dec08_P98	17Dec18_49exo	17Dec18_10exo	17Dec11_UK012	17Dec22_P81	17Dec20_P103	17Dec22_P35N10	17Dec22_P91N17	17Dec18_6exo	17Dec19_P192N49	17Dec20_30exo	17Dec12_8P76	17Dec15_2exo	17Dec22_P135N37	17Dec22_15exo	17Dec12_4exo	17Dec22_42exo	17Dec12_P108N27	17Dec18_UK009	17Dec11_P99N21	17Dec08_19exo	17Dec15_51exo	17Dec15_P164N44	17Dec15_43exo
FA(16:0)+13C0[+NH4]	36045.59537	34329.05774	29586.40527	12010.98409	27860.95174	20862.64342	32762.32062	34005.38981	23240.22217	60717.34502	45126.68176	52895.83596	15843.03747	19351.83805	25173.7823	16720.30305	25758.81701	0	22108.02795	40371.90005	24127.15598	25032.82291	95397.12667	20065.81997	25222.98814	35119.98365	45059.61651	22249.07028	52275.82203	29034.44894	160167.5724	0	19999.13361	43270.79473	20962.76301	28048.49909	35741.6914	24296.12113	29940.97238	31922.27547	43302.6023	31854.55723	17424.15524	25304.12476	27983.88698	37884.6519	29530.38274	20898.40895	0	51342.52404	77610.12701	34921.22549	24918.67708	19816.64215	23094.18458	50514.9707	40718.0799	13686.80351	19616.67351	18087.31223	21427.47708	19062.92194	26635.69504	37104.71234	43284.22122	0	25317.76267	0	33376.36598	19563.47811	22523.91819	64571.98665	26431.70344	33124.26818	25510.79506	23407.71863	19246.21486	43135.15155	48291.18395	27271.17408	30518.10572	20577.298	21377.77659	25850.70604	16873.57925	46506.9784	30105.026	23223.44684	0	19937.88386	121344.322	70346.27638	38697.34727	29722.18192	23442.69988
FA(18:4)+13C0[+H]	97418.71677	24457.12808	63441.86358	0	77606.71783	45986.44228	75902.98197	56222.24778	61321.3213	80075.93622	49622.76035	76353.83923	22005.58558	30911.91173	45967.99238	34948.48249	42783.04357	93630.08265	35654.68897	63699.52066	55215.07474	45344.49791	141524.3854	65715.47106	50217.44743	77566.69339	48718.20254	35291.65114	105005.2082	45042.05222	0	163997.774	44032.26337	197090.3353	46553.1164	78306.92899	59897.80191	67780.47027	74078.80421	45141.57215	62817.02397	71574.86255	29374.9778	76959.70706	33731.66592	0	56422.191	53020.76636	44502.05778	111660.0567	94439.15288	105539.3172	123647.6436	42685.88265	35094.02547	57164.68658	46156.39426	32431.55708	78173.01599	53453.86269	35503.91765	53436.2639	35376.63752	26267.02311	91681.96672	80005.15822	32562.34819	29231.88294	102009.1575	20045.2911	44067.60437	134883.2258	49243.17876	56147.85022	63233.14642	52474.34259	54921.26543	36321.32028	68866.36481	52614.25871	60971.23973	31070.87746	46652.04029	71383.3814	91699.98305	76202.15473	69039.0124	47292.8821	70849.14602	56925.10931	69549.56239	158553.1127	73526.66619	79361.02462	49290.71278
FA(18:3)+13C0[+H]	730682.4998	21598.86496	34853.8359	209421.1978	457509.9219	116188.9338	534620.69	1239335.821	263181.6748	800494.5134	24380.94403	1667882.374	32974.52364	18832.78831	26082.57595	16056.73777	29094.64972	1158216.856	21093.68103	1122531.414	31601.86473	35183.41936	2351360.11	33230.6203	362777.946	526991.8037	24153.82718	278408.3608	28325.12893	29718.27146	601868.4951	493131.2487	533281.5601	900649.1318	24046.43429	29826.19395	266890.2533	516311.7056	309921.3172	28115.49484	199950.8302	36470.08444	61488.7544	21018.72851	20959.72626	274257.5972	32742.02275	29525.04561	611368.3194	1509890.862	2501023.566	470164.7119	27607.64498	19509.89099	288648.7452	229301.8091	27933.78589	21188.05398	505649.4103	90046.34329	17030.40875	98137.29401	107887.4539	25422.16515	30176.64572	224485.7587	147438.4778	489717.5402	60397.16854	69576.04976	15827.15171	2001903.161	43730.56092	44744.99443	188574.4001	18546.92118	82718.70686	23094.2323	31952.68411	31003.16199	27503.28399	87235.41075	537163.1183	407830.9805	16285.32217	30427.7212	1031276.06	18754.4508	580492.1749	33002.20631	255162.0279	3319991.509	587881.2269	449040.9828	406822.9599
FA(18:3)+13C1[+H]	128075.112	0	0	45344.91894	85793.72926	20171.2224	97253.48562	224333.574	47705.78314	152188.0913	0	276653.9895	0	0	0	0	0	200609.1757	0	193607.145	0	0	400218.4283	0	63675.89293	92347.58754	0	47765.65633	0	0	115132.6325	0	91467.17012	169887.5493	0	0	51914.50855	90692.5321	55933.29964	0	0	0	0	0	0	63430.92872	0	0	111804.3372	255456.8933	434016.8509	89551.16147	0	0	50980.18345	47338.55168	0	0	89253.76335	18461.81946	0	18592.72481	0	0	0	0	31862.01698	88329.77048	0	13496.45358	0	352353.6393	0	0	32773.12941	0	16278.17068	0	0	0	0	17420.92763	90593.21362	71798.75767	0	0	182687.4715	0	97468.71057	0	52246.69645	576803.1509	113306.8998	88165.28662	77777.42821
FA(18:1)+13C0[+H]	30038.13511	15512.71064	25268.35543	13454.77569	23035.06274	17992.73737	0	39051.44171	16315.78063	72093.3478	18476.41674	63593.24917	10511.60403	14297.89935	29005.02408	22030.2308	16805.18741	49054.68826	23642.24497	49642.22732	22409.49642	25940.57185	77352.75163	26695.82563	23950.78942	30412.01587	41328.65451	19557.16672	36725.62511	15636.79821	263568.2767	0	26564.89154	34479.72592	23150.43384	22211.61736	40110.53744	23904.07575	27811.65428	18508.30941	61416.60158	21999.13929	17739.73262	27613.64276	21654.69989	45467.61654	20272.29305	22902.5195	33291.98312	37894.09327	66548.08437	24698.02035	23557.04832	23970.76469	18317.01385	79896.57522	25340.80322	18356.46099	17169.68682	17160.95405	20553.48548	25147.67481	39312.22352	16068.53149	29932.031	55141.26698	26720.73288	30382.85497	23071.11537	13173.00965	21756.78422	55639.21348	21638.55394	18666.48843	22084.00878	29138.42217	16885.55787	39029.85819	57877.00409	17385.90633	35444.63463	20303.98256	25592.38703	18998.70442	15468.14868	33754.66998	31180.48968	20685.79272	21981.28353	28138.01957	56311.2699	47223.77892	0	0	22680.59349
FA(17:2)+13C0[+NH4]	29672.71544	13334.26806	20867.77525	15152.61445	23063.54345	17648.12441	0	0	18414.55591	153781.4861	17452.11751	157125.924	10660.5487	10999.18755	38533.9345	17052.9494	20863.09864	251215.0106	25218.71036	126715.1717	17543.37602	22787.03722	182122.1617	24291.88531	25443.24462	34236.88167	36184.26006	20427.47666	30321.81803	12774.17987	171114.6652	0	20769.42952	0	26636.46434	16102.73343	101342.7757	23402.19845	63229.92057	18803.95546	123790.846	26774.0358	13326.90098	24227.40889	19889.43434	76801.51161	18025.3899	20655.4972	0	120313.8419	201720.847	34315.54027	20942.10712	26269.31867	18784.23768	181829.2757	18177.79671	14990.44461	15802.52577	21043.71931	15491.49226	24687.84634	63679.71437	23687.6426	24340.63568	84005.97348	30732.98377	0	19209.32986	12242.56155	18759.6545	172603.4125	0	15871.83447	50750.26308	21399.76418	15358.64593	42983.82747	41905.81801	0	20548.91802	23137.93811	22993.00559	24069.8446	0	29191.83564	24923.71615	18661.80445	0	24861.2846	117052.8421	164788.3482	0	0	22017.13092
FA(17:1)+13C0[+NH4]	729361.6381	339229.4362	343050.9336	344945.7017	696882.5753	681126.1618	521653.816	506508.7399	590405.9868	2266878.563	722770.5326	1520065.264	358388.3643	211641.0838	937395.7599	350148.8658	689927.1812	5033309.761	642033.4752	1876451.597	733195.0003	366660.3788	3996532.793	705057.3949	533938.0877	760387.3763	680268.5297	480912.6943	955346.2188	319952.605	2716488.045	567100.3486	599023.3214	849411.2336	716435.0141	498515.7413	1688962.304	511304.0688	1540436.085	354262.0418	2031301.319	912847.9194	170703.4976	591424.7733	320816.2519	1645261.599	484634.9475	650403.7376	383310.0983	2185440.601	4000199.139	1273424.662	582803.6113	788375.0599	469780.649	2239787.366	376775.9329	509739.5448	483097.6904	661196.6045	349303.8212	463358.6801	956967.1839	436956.0725	656187.0553	1453891.606	680429.4957	322273.7488	699614.0386	317923.795	421466.976	3401564.934	266577.0022	457416.2112	1358278.843	414819.3134	400131.6134	576407.5807	839997.6063	263547.6198	499646.1692	649101.8612	514020.8886	685506.2806	554751.1047	1112300.27	524255.0442	465720.9727	797042.7396	413467.344	1950569.981	3901374.074	733823.3189	594080.8357	474559.5023
FA(17:1)+13C1[+NH4]	114599.8372	55169.23436	55323.52282	53863.46532	112717.4341	109294.7632	84032.51822	86133.97424	93158.21279	352621.3595	112563.8835	234062.2764	56619.64971	33985.48476	148913.7917	55767.08979	112092.8846	852735.4732	100347.2983	299332.2912	116525.7718	57247.55361	636656.2901	108481.3954	83050.80591	121753.7693	108349.3648	76821.22637	151508.6572	51026.48179	434213.6679	97366.38881	94838.00157	136772.4919	112637.4176	80089.91617	268893.3592	78633.63101	244686.0742	55195.32208	319161.1067	145612.9676	27913.73972	94632.33582	51109.38489	264189.7839	77913.13872	104263.3467	61726.7778	347357.0687	642443.3128	200639.8159	93088.35543	124946.9234	72929.62804	353558.8498	61215.03099	80982.62116	78080.95773	104337.6387	56186.81453	72263.17933	149070.7922	68737.27052	102740.6954	239941.9278	108812.2228	54874.017	110201.8374	51380.95077	68258.66763	540890.161	41796.59779	71031.32131	216540.4434	65759.12646	63048.25342	91230.94788	132618.1234	42207.7653	79245.79797	105256.3454	82126.58168	107698.6587	90714.45726	177558.6823	85542.0531	74031.44178	118365.333	69055.94573	305282.4999	636465.8008	122715.1225	98031.61299	75843.24021
FA(17:0)+13C0[+NH4]	2308608.571	1088076.407	1986994.51	803698.7425	2360940.008	1585416.473	1607004.53	1454791.458	1294255.102	10734948.9	1280786.602	5506252.219	1429971.421	816876.9873	2366965.883	1418016.143	1853840.786	6177624.157	1927912.089	4938330.159	1580166.187	1644829.962	8639309.495	1968253.53	2057348.093	2796918.926	2657307.343	1406205.01	2036412.18	1252815.854	50024254.3	1198776.632	1628597.502	2100885.14	2250279.813	2191612.401	3385099.068	1775272.391	2386787.825	1678929.354	4247683.574	2340439.072	1267816.467	2103212.795	1723991.474	2642100.33	1143628.404	1694483.036	1496714.918	6618762.008	9411696.906	3128320.547	2367296.225	1888366.949	1558950.247	5185098.25	1592884.427	1130891.351	1192806.823	1578350.079	1516645.317	1701007.405	2175599.872	1093694.458	1652007.907	2783439.066	2645386.645	1422833.076	2213340.052	907044.4593	1569669.281	6544612.288	1329562.168	1445893.357	2064195.299	2241349.731	1436625.769	2752489.874	3454290.691	938240.3787	0	1343727.165	1551987.311	2045701.621	1574852.958	1445121.535	1677016.649	1668527.346	1555057.333	1137936.785	3964789.74	4933113.121	2005219.672	1854519.943	1508099.336
FA(17:0)+13C1[+NH4]	362774.139	181048.3866	336233.4043	130205.9182	385186.5279	271315.0117	247502.6948	230730.7478	204753.5186	1925867.473	205467.4544	927490.1045	244470.4502	132282.1141	414596.4983	235167.7454	317195.6582	1049778.525	327782.0047	832679.709	258392.2165	275642.093	1470584.349	323707.8362	341759.5057	470486.8807	459357.8984	220291.3353	346887.5206	209547.547	9122859.037	195743.4466	266547.2353	332838.839	397244.5036	365795.1338	552508.3032	296830.8916	389028.5768	286590.2908	696421.6173	404301.3785	210653.7826	360341.2658	290774.8867	417116.1504	191217.787	278413.9066	236464.4418	1174107.968	1644471.971	532342.7957	404925.1408	318318.4571	247550.6345	863451.2543	255323.4761	187558.355	190404.5521	265101.418	258616.7215	287630.1898	357961.2047	175456.4456	264508.9711	431646.6413	444048.4163	223969.242	377831.7066	147585.5226	263771.2128	1097752.129	216126.9318	244615.9771	342540.7565	388989.9583	237599.3599	482749.1839	605253.8109	152343.4761	463532.6893	219915.4196	253417.3215	332488.0358	264236.0484	231765.3288	269176.4968	286262.2862	241947.6734	182164.0568	642360.9036	822325.3146	311647.1518	292417.7433	235974.7676
FA(17:0)+13C2[+NH4]	30415.46387	13363.51449	25271.65184	11098.18535	30645.01213	20376.6929	0	0	17399.84604	136233.5293	15694.8228	67062.92758	18148.28398	11366.36953	29615.07917	16928.77925	23273.28158	80189.37719	23793.11564	61440.8895	20200.70722	21226.37903	111928.0865	24572.66845	24284.31525	34018.51193	33286.0746	16806.9506	26049.42697	14983.04594	667862.8341	0	22253.35171	0	27484.6399	27004.88971	45376.63504	21564.09024	30760.88158	20650.69421	52189.06591	31707.18226	17171.95348	27079.07908	21264.22377	0	14389.91068	21138.06167	0	81714.10919	120753.8808	41418.51163	29615.84856	23832.51728	18928.50584	65272.0503	18487.85131	13837.37822	16144.84035	19460.5389	19354.44669	21362.56816	28809.05613	14808.59457	21950.8277	0	32256.8432	0	27899.70607	12410.19699	19608.67254	81989.78614	17935.8515	18484.89558	26871.90345	27161.74593	18510.99906	35054.57572	43794.51098	14007.03111	33651.04512	17106.03719	20324.28043	25336.73913	19680.99788	19174.76463	24234.48416	20616.68107	22740.71686	0	53831.18166	62900.05479	0	0	19123.14956
FA(18:2)+13C0[+NH4]	66388.77859	15084.73127	21938.14097	11528.48882	24930.07604	16343.60195	0	46486.35805	29046.07199	50417.94397	57469.41187	52469.27868	13974.42334	15291.03661	21748.98389	13429.0024	18848.87089	64207.05598	26909.34203	37463.71195	21282.85324	27423.22744	63451.35101	31561.10506	29382.40945	44335.58308	55836.64169	24234.10509	50529.00049	17476.23889	90018.0982	117579.0064	0	39395.58795	15736.53268	15198.60233	56826.6975	21773.7435	25839.85897	15002.57897	72008.90234	19149.87577	21281.7785	17163.27217	16697.17695	114852.7266	21096.01691	19686.89005	0	69842.32212	88696.69037	52529.45402	26358.7383	23345.63719	23623.86624	58142.83342	56792.04839	18639.45384	26182.83283	14850.63234	14204.33772	28575.31306	24327.07927	19711.25596	41147.81836	69322.21382	27467.64665	0	21653.04244	14672.29746	15156.53977	69148.11092	24549.73077	22186.52173	38306.28887	15754.52766	22139.21512	62896.33736	59286.04709	14757.90267	18627.75422	23534.77538	27117.13544	36422.21104	13139.9426	63651.19949	31528.10723	15111.84374	30021.72552	37529.49071	56955.94219	98809.86753	39974.86565	0	26759.7971
